,time,open,high,low,close,tick_volume,spread,real_volume
225,2023-10-30 04:45:00,32513.1,32518.1,32511.1,32516.1,53,14,0
226,2023-10-30 04:46:00,32516.6,32517.1,32512.6,32514.1,53,39,0
227,2023-10-30 04:47:00,32513.6,32514.1,32507.1,32508.6,71,29,0
228,2023-10-30 04:48:00,32508.1,32508.6,32505.6,32505.6,31,34,0
229,2023-10-30 04:49:00,32505.6,32506.6,32502.6,32504.6,20,34,0
230,2023-10-30 04:50:00,32505.1,32505.6,32502.6,32502.6,41,34,0
231,2023-10-30 04:51:00,32502.6,32504.6,32501.1,32502.6,32,39,0
232,2023-10-30 04:52:00,32503.1,32507.1,32503.1,32507.1,24,39,0
233,2023-10-30 04:53:00,32507.6,32510.6,32506.6,32510.6,34,38,0
234,2023-10-30 04:54:00,32511.1,32511.1,32507.6,32509.6,49,33,0
235,2023-10-30 04:55:00,32509.1,32510.1,32506.1,32510.1,44,34,0
236,2023-10-30 04:56:00,32510.6,32514.1,32510.1,32510.6,41,34,0
237,2023-10-30 04:57:00,32510.1,32510.6,32507.6,32508.6,29,39,0
238,2023-10-30 04:58:00,32508.1,32511.6,32508.1,32510.6,26,39,0
239,2023-10-30 04:59:00,32511.1,32512.1,32509.6,32511.1,40,34,0
240,2023-10-30 05:00:00,32510.6,32510.6,32502.1,32504.1,71,29,0
241,2023-10-30 05:01:00,32503.6,32505.6,32502.1,32504.6,38,39,0
242,2023-10-30 05:02:00,32504.6,32510.6,32504.6,32510.6,43,34,0
243,2023-10-30 05:03:00,32510.1,32511.6,32502.6,32502.6,46,39,0
244,2023-10-30 05:04:00,32503.1,32504.6,32500.1,32503.6,32,39,0
245,2023-10-30 05:05:00,32503.6,32504.1,32501.6,32503.6,17,39,0
246,2023-10-30 05:06:00,32503.6,32505.6,32501.6,32502.6,26,39,0
247,2023-10-30 05:07:00,32502.1,32504.6,32500.1,32500.1,24,34,0
248,2023-10-30 05:08:00,32500.6,32500.6,32498.6,32499.1,41,39,0
249,2023-10-30 05:09:00,32499.6,32501.1,32498.6,32498.6,35,34,0
250,2023-10-30 05:10:00,32499.1,32500.6,32495.6,32497.6,44,33,0
251,2023-10-30 05:11:00,32498.1,32498.6,32493.1,32493.6,44,34,0
252,2023-10-30 05:12:00,32493.1,32493.1,32486.6,32488.6,47,34,0
253,2023-10-30 05:13:00,32488.6,32488.6,32482.6,32483.6,43,34,0
254,2023-10-30 05:14:00,32483.6,32489.1,32483.6,32488.6,38,39,0
255,2023-10-30 05:15:00,32489.1,32491.6,32487.1,32490.6,52,29,0
256,2023-10-30 05:16:00,32491.1,32495.1,32490.6,32494.6,34,34,0
257,2023-10-30 05:17:00,32495.1,32500.1,32493.6,32499.6,33,29,0
258,2023-10-30 05:18:00,32500.1,32501.1,32498.6,32499.6,23,39,0
259,2023-10-30 05:19:00,32499.6,32500.6,32497.6,32499.1,33,34,0
260,2023-10-30 05:20:00,32498.6,32499.6,32493.6,32497.6,45,34,0
261,2023-10-30 05:21:00,32497.1,32500.1,32496.1,32497.6,30,39,0
262,2023-10-30 05:22:00,32498.1,32500.6,32497.1,32500.6,36,39,0
263,2023-10-30 05:23:00,32501.1,32502.1,32498.6,32501.1,41,39,0
264,2023-10-30 05:24:00,32500.6,32502.1,32497.6,32497.6,24,34,0
265,2023-10-30 05:25:00,32498.1,32500.6,32497.6,32499.6,25,34,0
266,2023-10-30 05:26:00,32500.1,32502.1,32499.6,32501.1,40,39,0
267,2023-10-30 05:27:00,32500.6,32502.1,32497.1,32497.6,32,38,0
268,2023-10-30 05:28:00,32497.6,32497.6,32494.1,32496.2,30,33,0
269,2023-10-30 05:29:00,32495.7,32496.2,32494.2,32496.2,28,37,0
270,2023-10-30 05:30:00,32495.7,32499.2,32495.7,32498.7,28,37,0
271,2023-10-30 05:31:00,32498.2,32498.7,32496.7,32497.7,18,36,0
272,2023-10-30 05:32:00,32497.2,32497.2,32495.2,32495.7,34,32,0
273,2023-10-30 05:33:00,32495.2,32495.2,32491.7,32493.7,20,32,0
274,2023-10-30 05:34:00,32494.2,32495.7,32493.7,32493.7,28,37,0
275,2023-10-30 05:35:00,32493.2,32493.2,32489.7,32491.7,33,32,0
276,2023-10-30 05:36:00,32491.7,32495.7,32491.7,32495.2,15,37,0
277,2023-10-30 05:37:00,32494.7,32495.2,32492.7,32494.7,22,32,0
278,2023-10-30 05:38:00,32494.2,32494.8,32492.2,32494.8,18,30,0
279,2023-10-30 05:39:00,32494.8,32494.8,32491.7,32491.7,15,30,0
280,2023-10-30 05:40:00,32491.7,32493.8,32491.7,32493.7,20,31,0
281,2023-10-30 05:41:00,32493.2,32493.7,32491.7,32492.2,23,31,0
282,2023-10-30 05:42:00,32492.7,32494.3,32490.7,32491.2,26,30,0
283,2023-10-30 05:43:00,32491.7,32493.7,32490.7,32492.7,14,31,0
284,2023-10-30 05:44:00,32492.7,32492.7,32490.3,32490.8,15,35,0
285,2023-10-30 05:45:00,32490.3,32492.8,32490.3,32491.8,21,30,0
286,2023-10-30 05:46:00,32492.3,32493.3,32491.3,32491.8,25,35,0
287,2023-10-30 05:47:00,32491.7,32491.7,32489.2,32490.3,22,31,0
